rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
635	PKD2	ENSG00000118762	Q13563	core_surfaceome	safety_first	0.281364	1.000000		0		0.600000	0.792208	0.363265	0.599629	0.816657	not_available		0.723455	0.072000	0.118831	0.079918	-0.167896	0.106165		0.072345	0.792690	0.411874	0.900000	0.483636	0.930000	high_purity_adjusted_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
636	BTNL8	ENSG00000113303	Q6UX41	core_surfaceome	safety_first	0.281228	1.000000		0		0.200000	0.694249	0.591837	0.364564	0.354108	not_available		0.789308	0.024000	0.104137	0.130204	-0.102078	0.046034		0.078931	0.700130	0.581224	0.800000	0.200000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
637	VASN	ENSG00000168140	Q6EMK4	core_surfaceome	safety_first	0.281223	1.000000		0		0.400000	0.773655	0.477180	0.599629	0.665176	not_available		0.936182	0.048000	0.116048	0.104980	-0.167896	0.086473		0.093618	0.777774	0.503414	0.900000	0.315000	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
638	KIR2DL1	ENSG00000125498	P43626	core_surfaceome	safety_first	0.281001	0.870000	P	1	P	0.400000	0.289796	0.599258	0.206308		not_available		0.789308	0.048000	0.043469	0.131837	-0.057766			0.078931	0.289239	0.586104	0.203117		0.932500	watchlist_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	hematopoietic	lower_risk_by_current_normal_expression
639	OR51F2	ENSG00000176925	Q8NH61	core_surfaceome	safety_first	0.280955	0.870000	P	1	P	0.400000	0.145640	0.730241	0.085343		not_available		0.378283	0.048000	0.021846	0.160653	-0.023896			0.037828	0.119239	0.644842	0.000000		0.752047	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
640	DDR2	ENSG00000162733	Q16832	core_surfaceome	safety_first	0.280938	0.870000	P	1	P	0.600000	0.736920	0.454545	0.470501		not_available		0.936182	0.072000	0.110538	0.100000	-0.131740			0.093618	0.741577	0.490353	0.850000		0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
641	MC2R	ENSG00000185231	Q01718	core_surfaceome	safety_first	0.280877	1.000000		0		0.400000	0.201855	0.528757	0.085343	0.712130	not_available		0.175916	0.048000	0.030278	0.116327	-0.023896	0.092577		0.017592	0.181317	0.542263	0.000000	0.400000	0.737829	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
642	PCDH11X	ENSG00000102290	Q9BZA7	core_surfaceome	safety_first	0.280873	1.000000		0		0.600000	0.225603	0.209276	0.224119	0.867803	not_available		0.789308	0.072000	0.033840	0.046041	-0.062753	0.112814		0.078931	0.214991	0.282857	0.230056	0.520303	0.932500	watchlist_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
643	P2RY13	ENSG00000181631	Q9BPV8	core_surfaceome	safety_first	0.280789	1.000000		0		0.400000	0.577365	0.723562	0.364564	0.354108	not_available		0.430448	0.048000	0.086605	0.159184	-0.102078	0.046034		0.043045	0.579443	0.642560	0.800000	0.200000	0.760942	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
644	OR9Q1	ENSG00000186509	Q8NGQ5	core_surfaceome	safety_first	0.280750	0.870000	P	1	P	0.400000	0.142301	0.758442	0.085343		not_available		0.319460	0.048000	0.021345	0.166857	-0.023896			0.031946	0.117291	0.666605	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
645	OR10J3	ENSG00000196266	Q5JRS4	core_surfaceome	safety_first	0.280686	0.870000	P	1	P	0.400000	0.117440	0.775139	0.085343		not_available		0.319460	0.048000	0.017616	0.170531	-0.023896			0.031946	0.096456	0.679239	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
