rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1163	MCEMP1	ENSG00000183019	Q8IX19	core_surfaceome	novelty_focused	0.304865	1.000000		0		0.400000	0.450093	0.251206	0.470501	0.762717	not_available		0.642434	0.068000	0.081017	0.050241	-0.084690	0.106780		0.083516	0.450427	0.319035	0.850000	0.450000	0.868162	watchlist_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
1164	MUC16	ENSG00000181143	Q8WXI7	core_surfaceome	novelty_focused	0.304714	1.000000		0		0.400000	0.412245	0.527273	0.263636	0.247345	not_available		0.537551	0.068000	0.074204	0.105455	-0.047455	0.034628		0.069882	0.412727	0.541540	0.600000	0.156061	0.812500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
1165	PARM1	ENSG00000169116	Q6UWI2	core_surfaceome	novelty_focused	0.304310	1.000000		0		0.400000	0.741744	0.471985	0.832282	0.260760	not_available		0.936182	0.068000	0.133514	0.094397	-0.149811	0.036506		0.121704	0.746197	0.500371	1.000000	0.165000	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	heart	high_critical_off_tumor_risk
1166	OR8K5	ENSG00000181752	Q8NH50	core_surfaceome	novelty_focused	0.304264	0.860000	P	1	P	0.400000	0.135250	0.715770	0.085343		not_available		0.319460	0.068000	0.024345	0.143154	-0.015362			0.041530	0.113785	0.637532	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1167	OR2M7	ENSG00000177186	Q8NG81	core_surfaceome	novelty_focused	0.304238	0.860000	P	1	P	0.400000	0.106679	0.741373	0.085343		not_available		0.319460	0.068000	0.019202	0.148275	-0.015362			0.041530	0.092356	0.653711	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1168	GJA1	ENSG00000152661	P17302	core_surfaceome	novelty_focused	0.304074	1.000000		0		0.400000	0.868646	0.493878	0.832282	0.732812	not_available		0.216611	0.068000	0.156356	0.098776	-0.149811	0.102594		0.028159	0.871911	0.517440	1.000000	0.428030	0.744379	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1169	TSPAN2	ENSG00000134198	O60636	core_surfaceome	novelty_focused	0.304031	1.000000		0		0.400000	0.674212	0.434879	0.470501	0.354108	not_available		0.483167	0.068000	0.121358	0.086976	-0.084690	0.049575		0.062812	0.681020	0.472764	0.850000	0.200000	0.778668	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
1170	LEPR	ENSG00000116678	P48357	core_surfaceome	novelty_focused	0.304015	1.000000		0		0.400000	0.619852	0.144712	0.599629	0.925936	not_available		0.567703	0.068000	0.111573	0.028942	-0.107933	0.129631		0.073801	0.624657	0.225417	0.900000	0.590000	0.832500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
1171	OR10G6	ENSG00000198674	Q8NH81	core_surfaceome	novelty_focused	0.303939	0.860000	P	1	P	0.400000	0.030983	0.741002	0.085343		not_available		0.422863	0.068000	0.005577	0.148200	-0.015362			0.054972	0.082783	0.653525	0.000000		0.758475	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1172	EDNRB	ENSG00000136160	P24530	core_surfaceome	novelty_focused	0.303873	1.000000		0		0.600000	0.673840	0.360668	0.832282	0.908329	not_available		0.239179	0.102000	0.121291	0.072134	-0.149811	0.127166		0.031093	0.680965	0.409425	1.000000	0.564444	0.747633	high_purity_adjusted_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
