rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
619	SLC43A3	ENSG00000134802	Q8NBI5	probable_surfaceome	protein_first	0.375697	1.000000		0		0.000000	0.889054	0.858998	0.599629	0.809670	not_available		0.013319	0.000000	0.133358	0.154620	-0.107933	0.194321		0.001332	0.886364	0.749165	0.900000	0.476111	0.320000	low_uncorrected_tme_correlation	E	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
620	SLC20A2	ENSG00000168575	Q08357	core_surfaceome	protein_first	0.375613	1.000000		0		0.400000	0.897217	0.867532	0.832282	0.654556	not_available		0.175916	0.060000	0.134583	0.156156	-0.149811	0.157093		0.017592	0.892245	0.759518	1.000000	0.301111	0.737829	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
621	FZD3	ENSG00000104290	Q9NPG1	core_surfaceome	protein_first	0.375525	1.000000		0		0.400000	0.663451	0.906122	0.832282	0.564561	not_available		0.672216	0.060000	0.099518	0.163102	-0.149811	0.135495		0.067222	0.667532	0.804304	1.000000	0.265758	0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
622	MPZL3	ENSG00000160588	Q6UWV2	core_surfaceome	protein_first	0.375377	0.760000	P	1	P	0.400000	0.686085	0.647124	0.364564		not_available		0.715131	0.060000	0.102913	0.116482	-0.065622			0.071513	0.695046	0.606865	0.800000		0.925913	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
623	ADGRG7	ENSG00000144820	Q96K78	core_surfaceome	protein_first	0.375179	0.760000	P	1	P	0.600000	0.625232	0.789239	0.599629		not_available		0.672216	0.090000	0.093785	0.142063	-0.107933			0.067222	0.628293	0.691132	0.900000		0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	liver	high_critical_off_tumor_risk
624	MELTF	ENSG00000163975	P08582	core_surfaceome	protein_first	0.374850	1.000000		0		0.400000	0.784787	0.921707	0.832282	0.461431	not_available		0.702923	0.060000	0.117718	0.165907	-0.149811	0.110743		0.070292	0.785863	0.819406	1.000000	0.221944	0.920000	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
625	TIMD4	ENSG00000145850	Q96H15	core_surfaceome	protein_first	0.374738	1.000000		0		0.600000	0.388126	0.312430	0.599629	0.830352	not_available		0.789308	0.090000	0.058219	0.056237	-0.107933	0.199284		0.078931	0.387866	0.369870	0.900000	0.495556	0.932500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
626	CD101	ENSG00000134256	Q93033	core_surfaceome	protein_first	0.374643	1.000000		0		0.400000	0.615584	0.860853	0.470501	0.243432	not_available		0.936182	0.060000	0.092338	0.154954	-0.084690	0.058424		0.093618	0.620223	0.751651	0.850000	0.153889	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
627	ANTXR2	ENSG00000163297	P58335	core_surfaceome	protein_first	0.373951	0.760000	P	1	P	0.400000	0.908720	0.643414	0.470501		not_available		0.567703	0.060000	0.136308	0.115815	-0.084690			0.056770	0.902152	0.605937	0.850000		0.832500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
628	CXCR2	ENSG00000180871	P25025	core_surfaceome	protein_first	0.373864	1.000000		0		0.600000	0.478293	0.374397	0.364564	0.854108	not_available		0.053644	0.090000	0.071744	0.067391	-0.065622	0.204986		0.005364	0.477978	0.422746	0.800000	0.516667	0.610137	watchlist_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
