rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
2510	CCKBR	ENSG00000110148	P32239	core_surfaceome	adc_focused	0.114775	0.830000	P	1	P	0.600000	0.397774	0.078664	0.832282		not_available		0.470218	0.090000	0.095466	0.012586	-0.149811			0.047022	0.396160	0.166790	1.000000		0.772960	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2511	FZD9	ENSG00000188763	O00144	core_surfaceome	adc_focused	0.113840	0.830000	P	1	P	0.400000	0.363636	0.186271	0.832282		not_available		0.672216	0.060000	0.087273	0.029803	-0.149811			0.067222	0.359889	0.258330	1.000000		0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2512	OR2V1	ENSG00000185372	Q8NHB1	core_surfaceome	adc_focused	0.113574	1.000000		0		0.400000	0.079406	0.310575	0.243970	0.047513	not_available		0.206622	0.060000	0.019057	0.049692	-0.043915	0.008077		0.020662	0.088237	0.369184	0.270501	0.000000	0.743152	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	liver	lower_risk_by_current_normal_expression
2513	PCDH9	ENSG00000184226	Q9HC56	core_surfaceome	adc_focused	0.113570	0.830000	P	1	P	0.400000	0.384416	0.080519	0.832282		not_available		0.789308	0.060000	0.092260	0.012883	-0.149811			0.078931	0.383952	0.169944	1.000000		0.932500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2514	TAS2R1	ENSG00000169777	Q9NYW7	core_surfaceome	adc_focused	0.113313	1.000000		0		0.400000	0.140445	0.227829	0.263636	0.047513	not_available		0.225305	0.060000	0.033707	0.036453	-0.047455	0.008077		0.022531	0.116160	0.301521	0.600000	0.000000	0.745569	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
2515	NRG4	ENSG00000169752	Q8WWG1	core_surfaceome	adc_focused	0.113196	1.000000		0		0.400000	0.485714	0.094620	0.832282	0.388485	not_available		0.052534	0.060000	0.116571	0.015139	-0.149811	0.066042		0.005253	0.485603	0.184453	1.000000	0.201852	0.607655	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2516	GLRA3	ENSG00000145451	O75311	core_surfaceome	adc_focused	0.113118	0.830000	P	1	P	0.600000	0.212059	0.211874	0.832282		not_available		0.689049	0.090000	0.050894	0.033900	-0.149811			0.068905	0.196067	0.285009	1.000000		0.900000	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2517	GPR162	ENSG00000250510	Q16538	core_surfaceome	adc_focused	0.113102	1.000000		0		0.400000	0.508349	0.071985	0.832282	0.354108	not_available		0.091935	0.060000	0.122004	0.011518	-0.149811	0.060198		0.009194	0.507737	0.160779	1.000000	0.200000	0.698216	high_purity_adjusted_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2518	OR2H1	ENSG00000204688	Q9GZK4	core_surfaceome	adc_focused	0.113063	0.830000	P	1	P	0.400000	0.127458	0.117254	0.263636		not_available		0.319460	0.060000	0.030590	0.018761	-0.047455			0.031946	0.109592	0.201373	0.600000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
2519	GABRA4	ENSG00000109158	P48169	core_surfaceome	adc_focused	0.112695	0.830000	P	1	P	0.400000	0.284230	0.299443	0.832282		not_available		0.672216	0.060000	0.068215	0.047911	-0.149811			0.067222	0.284212	0.359425	1.000000		0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2520	CLEC4M	ENSG00000104938	Q9H2X3	core_surfaceome	adc_focused	0.112311	1.000000		0		0.400000	0.217440	0.033395	0.599629	0.270263	not_available		0.567703	0.060000	0.052186	0.005343	-0.107933	0.045945		0.056770	0.201540	0.127365	0.900000	0.170000	0.832500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
2521	LINGO4	ENSG00000213171	Q6UY18	core_surfaceome	adc_focused	0.111687	1.000000		0		0.400000	0.270315	0.116141	0.832282	0.143656	not_available		0.936182	0.060000	0.064876	0.018583	-0.149811	0.024422		0.093618	0.268831	0.200594	1.000000	0.048485	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
