gene_id	variance
ENSG00000280064.1	28.034950256347656
ENSG00000137392.9	28.015302658081055
ENSG00000256514.1	27.976680755615234
ENSG00000221125.2	27.976186752319336
ENSG00000253998.3	27.88504981994629
ENSG00000275022.1	27.864887237548828
ENSG00000102837.6	27.853546142578125
ENSG00000236280.1	27.838638305664062
ENSG00000198930.12	27.817331314086914
ENSG00000267228.6	27.793750762939453
ENSG00000162840.4	27.774728775024414
ENSG00000222489.1	27.745399475097656
ENSG00000181617.5	27.731163024902344
ENSG00000163586.9	27.682050704956055
ENSG00000212588.1	27.664581298828125
ENSG00000167755.13	27.645217895507812
ENSG00000168955.3	27.64479637145996
ENSG00000180818.4	27.634967803955078
ENSG00000281990.1	27.62435531616211
ENSG00000268902.2	27.615856170654297
ENSG00000263165.1	27.60012435913086
ENSG00000239149.1	27.573591232299805
ENSG00000281451.1	27.53184700012207
ENSG00000110244.6	27.513349533081055
ENSG00000237643.1	27.511924743652344
ENSG00000233441.6	27.498912811279297
ENSG00000260537.1	27.479230880737305
ENSG00000265933.5	27.457225799560547
ENSG00000280727.1	27.439512252807617
ENSG00000211639.2	27.413774490356445
ENSG00000221164.1	27.39750862121582
ENSG00000236876.3	27.384294509887695
ENSG00000114374.12	27.369110107421875
ENSG00000201998.1	27.3635311126709
ENSG00000268621.5	27.351186752319336
ENSG00000238460.1	27.339946746826172
ENSG00000263776.1	27.330074310302734
ENSG00000259607.1	27.27741813659668
ENSG00000268606.5	27.225528717041016
ENSG00000267007.1	27.205322265625
ENSG00000235354.1	27.200105667114258
ENSG00000237815.1	27.173837661743164
ENSG00000253861.1	27.1702938079834
ENSG00000267059.2	27.16452407836914
ENSG00000262406.2	27.15790367126465
ENSG00000187258.13	27.082780838012695
ENSG00000278527.1	27.06195068359375
ENSG00000199785.1	27.051727294921875
ENSG00000235558.3	27.04156494140625
ENSG00000183305.13	27.04129981994629
ENSG00000263244.2	27.018590927124023
ENSG00000273096.1	26.999019622802734
ENSG00000208892.1	26.99327278137207
ENSG00000267328.1	26.931161880493164
ENSG00000110245.11	26.88222885131836
ENSG00000207175.1	26.815231323242188
ENSG00000230953.2	26.690261840820312
ENSG00000277610.1	26.674524307250977
ENSG00000163286.7	26.63798713684082
ENSG00000225548.5	26.61903190612793
ENSG00000227850.1	26.60892105102539
ENSG00000266872.1	26.606300354003906
ENSG00000206885.1	26.598594665527344
ENSG00000163209.14	26.556480407714844
ENSG00000113722.16	26.548856735229492
ENSG00000168925.10	26.54348373413086
ENSG00000196302.5	26.523536682128906
ENSG00000159184.7	26.502687454223633
ENSG00000241794.1	26.478649139404297
ENSG00000281808.1	26.463224411010742
ENSG00000264148.1	26.44930648803711
ENSG00000254721.1	26.443115234375
ENSG00000243766.7	26.418907165527344
ENSG00000234431.2	26.3931941986084
ENSG00000272851.1	26.321569442749023
ENSG00000165066.12	26.302993774414062
ENSG00000276566.1	26.27975845336914
ENSG00000225523.2	26.273252487182617
ENSG00000211974.3	26.254619598388672
ENSG00000279399.1	26.252086639404297
ENSG00000233133.1	26.222675323486328
ENSG00000213401.8	26.2164306640625
ENSG00000259661.1	26.18577766418457
ENSG00000267165.1	26.138381958007812
ENSG00000123388.4	26.136037826538086
ENSG00000276877.1	26.131046295166016
ENSG00000263740.2	26.126516342163086
ENSG00000099617.3	26.123579025268555
ENSG00000255767.1	26.12271499633789
ENSG00000239039.1	26.11733055114746
ENSG00000264229.1	26.092451095581055
ENSG00000279909.1	26.073200225830078
ENSG00000207523.1	26.071428298950195
ENSG00000276232.1	26.006410598754883
ENSG00000240618.1	26.004329681396484
ENSG00000142789.19	26.00054931640625
ENSG00000187908.15	25.961856842041016
